generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,34.7,25.05,15.1,3.5386419014958443
1,35.3,25.569499999999998,16.3,3.4647979487531133
2,35.9,26.075,16.6,3.4665875869921843
3,35.8,26.4015,17.6,3.4031306049031365
4,36.1,26.827999999999996,17.5,3.426769153354133
5,36.1,27.142000000000003,17.9,3.3322424107127233
6,36.1,27.4215,18.2,3.2880003144932304
7,36.1,27.806,18.6,3.2770743015127914
8,36.3,28.305,18.8,3.2559736253267566
9,37.0,28.6735,19.7,3.24463043103606
10,37.4,28.961000000000002,19.9,3.2077496908708683
11,37.2,29.456,20.6,3.1536168626016874
12,38.4,29.7935,21.2,3.0982689837400823
13,37.6,30.182499999999997,21.8,3.0834593649739674
14,38.4,30.502999999999997,21.0,3.003800662491856
15,38.9,30.8045,22.0,3.0247425499419416
16,39.5,31.152499999999996,23.4,2.9794794457060503
17,38.4,31.252999999999997,23.3,2.9042580375199756
18,38.6,31.562,23.9,2.8875837707524985
19,39.3,31.817500000000003,23.6,2.9783369295459092
20,40.0,32.1245,23.8,3.0037733176541814
21,40.4,32.411500000000004,24.0,3.0231239046063942
22,40.6,32.724000000000004,24.0,3.0076694556016887
23,41.2,32.942,24.5,3.0038984063066643
24,40.8,33.070499999999996,25.4,2.929685082751039
25,40.8,33.411500000000004,25.6,2.984407502281308
26,41.1,33.6945,25.7,2.889296654914684
27,41.2,33.9555,25.0,2.9007127211863413
28,41.1,34.1165,26.2,2.8397505747100276
29,41.4,34.4485,26.3,2.804767364781738
30,41.5,34.6905,27.0,2.81997511796441
31,41.7,35.01649999999999,27.0,2.7949908162796273
32,42.0,35.327,27.2,2.734987955064958
33,41.9,35.5515,27.9,2.580543414340359
34,42.6,35.7125,28.6,2.603698177586529
35,43.1,35.9465,27.9,2.6103766865420868
36,43.0,36.2065,28.2,2.6382757164540696
37,42.8,36.313,28.8,2.6077816493596186
38,43.2,36.521,29.5,2.5710520148221456
39,43.3,36.652,29.3,2.6031315039121403
40,43.6,36.8895,29.7,2.6071765008999046
41,43.3,36.947,29.4,2.572678770325005
42,43.3,37.042500000000004,29.3,2.5706464671624745
43,43.6,37.289,30.1,2.5290550361885122
44,44.0,37.479,30.5,2.582255662659058
45,43.9,37.5875,31.1,2.539990782621321
46,44.5,37.7635,31.2,2.4771937077014208
47,44.8,37.8645,31.2,2.537028172267787
48,44.3,38.10850000000001,31.4,2.4845085420370365
49,44.7,38.2485,31.6,2.432220728543809
50,44.8,38.4005,31.3,2.4246750732776343
51,45.2,38.675,32.0,2.439056300179263
52,45.5,38.878499999999995,31.8,2.4436983032269066
53,45.3,39.157,32.3,2.4244452260742184
54,45.6,39.3075,32.1,2.4527172347757396
55,45.3,39.525999999999996,32.5,2.4572350345954335
56,45.9,39.686,32.2,2.4793635791356756
57,45.8,39.781,32.5,2.4721171554378705
58,45.9,39.89,32.4,2.4170888070323464
59,45.9,40.042,32.1,2.4277840363058325
60,46.2,40.0635,32.8,2.4737780801430764
61,46.1,40.251,33.2,2.43261741715176
62,46.1,40.349000000000004,33.3,2.3901608435302273
63,46.3,40.6225,33.8,2.3024470060870086
64,46.7,40.753499999999995,33.9,2.356376546022699
65,46.4,40.971500000000006,34.8,2.2696523140662057
66,46.6,41.0655,35.3,2.175827533619733
67,46.4,41.172000000000004,34.9,2.2222459774625456
68,46.4,41.255,35.6,2.1982036759030734
69,46.4,41.390499999999996,35.5,2.139903060245831
70,46.8,41.5575,35.5,2.1600832166004786
71,46.3,41.599000000000004,35.7,2.111491954704035
72,46.5,41.7445,35.8,2.108408982404072
73,46.7,41.7765,35.7,2.104932581245208
74,46.8,41.9385,36.1,2.1068322391917675
75,47.0,42.0125,35.8,2.052172575509484
76,47.5,42.097,36.5,2.040242716916766
77,46.9,42.173500000000004,36.8,1.9787541322318511
78,47.3,42.3645,36.9,1.9744601940452462
79,47.5,42.5015,36.9,1.9781093128572074
80,47.3,42.5995,36.7,1.9900827681452413
81,47.1,42.697,37.4,1.936889008933159
82,47.0,42.8515,37.5,1.895207063463411
83,47.3,42.884,37.5,1.9379656344159977
84,47.4,42.9945,37.4,1.9343986616883846
85,47.7,43.1555,37.5,1.9250393640689663
86,47.8,43.185,37.6,1.9341970395504817
87,47.8,43.198,37.6,1.915185533477596
88,47.9,43.3175,37.5,1.90300489369313
89,47.9,43.304,37.5,1.922337252162698
90,47.6,43.4385,37.7,1.9357592611192298
91,48.1,43.6005,38.1,1.887752154954235
92,48.3,43.650999999999996,38.3,1.8734171576129248
93,47.9,43.69,38.5,1.815196927091622
94,48.1,43.8155,38.6,1.7967442300512229
95,48.0,43.864,38.4,1.8249156016913475
96,48.3,43.97,38.5,1.779437063865042
97,48.3,43.9495,38.7,1.7678510837094663
98,48.2,44.1165,39.2,1.7022094380390271
99,48.2,44.186,39.1,1.7137805075589636
100,48.4,44.269,39.1,1.7076504955913965
